,price,area,price per square foot
557,348700,947,368.2154171
558,353100,925,381.7297297
559,592900,1408,421.09375
560,293700,975,301.2307692
561,482900,1351,357.4389341
562,279400,918,304.3572985
563,348700,947,368.2154171
564,353100,925,381.7297297
565,592900,1408,421.09375
566,322300,975,330.5641026
567,482900,1351,357.4389341
568,328900,918,358.2788671
569,348700,947,368.2154171
570,353100,925,381.7297297
571,592900,1408,421.09375
572,337700,975,346.3589744
573,482900,1351,357.4389341
574,328900,918,358.2788671
575,348700,947,368.2154171
576,353100,925,381.7297297
577,592900,1408,421.09375
578,337700,975,346.3589744
579,482900,1351,357.4389341
580,328900,918,358.2788671
581,348700,947,368.2154171
582,353100,925,381.7297297
583,592900,1408,421.09375
584,337700,975,346.3589744
585,482900,1351,357.4389341
586,328900,918,358.2788671
587,348700,947,368.2154171
588,353100,925,381.7297297
589,592900,1408,421.09375
590,337700,975,346.3589744
591,482900,1351,357.4389341
592,343200,918,373.8562092
593,348700,947,368.2154171
594,353100,925,381.7297297
595,592900,1408,421.09375
596,337700,975,346.3589744
597,482900,1351,357.4389341
598,343200,918,373.8562092
599,348700,947,368.2154171
600,353100,925,381.7297297
601,592900,1408,421.09375
602,337700,975,346.3589744
603,482900,1351,357.4389341
604,343200,918,373.8562092
605,271700,495,548.8888889
606,281600,508,554.3307087
607,361900,653,554.2113323
608,367400,687,534.7889374
609,1485700,2107,705.1257712
610,387200,711,544.5850914
611,364100,643,566.251944
612,281600,493,571.1967546
613,676500,1336,506.3622754
614,676500,1338,505.6053812
615,376200,679,554.0500736
616,281600,505,557.6237624
617,281600,504,558.7301587
618,286000,532,537.593985
619,2323600,3062,758.8504246
620,625900,1078,580.6122449
621,305800,521,586.9481766
622,388300,711,546.1322082
623,352000,637,552.5902669
624,958100,1707,561.2770943
625,267300,514,520.0389105
626,267300,503,531.4115308
627,267300,532,502.443609
628,967200,1347,718.0400891
629,1201200,1709,702.8671738
630,625900,1064,588.2518797
631,625900,1013,617.8677196
632,456500,821,556.0292326
633,287100,520,552.1153846
634,358600,649,552.5423729
635,364100,652,558.4355828
636,392700,714,550
637,281600,505,557.6237624
638,267300,537,497.7653631
639,994500,1348,737.7596439
640,1204000,1707,705.33099
641,650100,1079,602.502317
642,638000,1019,626.1040236
643,281600,515,546.7961165
644,388300,708,548.4463277
645,364100,658,553.343465
646,388300,714,543.837535
647,267300,499,535.6713427
648,382800,693,552.3809524
649,267300,514,520.0389105
650,277200,528,525
651,1197200,1707,701.3473931
652,650100,1083,600.2770083
653,330000,539,612.244898
654,398200,717,555.3695955
655,358600,655,547.480916
656,354200,638,555.1724138
657,281600,508,554.3307087
658,377300,686,550
659,267300,495,540
660,1207900,1723,701.0446895
661,650100,1080,601.9444444
662,460900,806,571.8362283
663,398200,717,555.3695955
664,364100,658,553.343465
665,388300,706,550
666,281600,504,558.7301587
667,364100,693,525.3968254
668,265100,578,458.650519
669,312400,638,489.6551724
670,2489700,3288,757.2080292
671,2070000,2734,757.1324067
672,291500,543,536.8324125
673,389400,782,497.9539642
674,218900,413,530.0242131
675,435600,927,469.9029126
676,641300,1237,518.4316896
677,773300,1473,524.9830278
678,398200,751,530.2263648
679,364100,763,477.1952818
680,289300,638,453.4482759
681,1317500,1973,667.7648251
682,1246500,1860,670.1612903
683,1567200,2268,691.005291
684,313500,579,541.4507772
685,265100,510,519.8039216
686,481800,919,524.265506
687,218900,401,545.8852868
688,337700,643,525.1944012
689,625900,1141,548.5539001
690,770000,1481,519.9189737
691,509300,912,558.4429825
692,410300,752,545.6117021
693,260700,492,529.8780488
694,840400,2080,404.0384615
695,744700,1422,523.6990155
696,299200,591,506.2605753
697,243100,460,528.4782609
698,391600,1119,349.9553172
699,183700,573,320.5933682
700,704000,1483,474.7134187
701,300300,623,482.0224719
702,423500,879,481.7974972
703,419100,934,448.7152034
704,194700,528,368.75
705,364100,848,429.3632075
706,231000,609,379.3103448
707,174900,573,305.2356021
708,676500,1231,549.5532088
709,299200,611,489.6890344
710,425700,879,484.3003413
711,304700,740,411.7567568
712,392700,1119,350.9383378
713,176000,573,307.1553229
714,189200,583,324.5283019
715,677600,1231,550.4467912
716,268400,595,451.092437
717,301400,611,493.289689
718,550000,1281,429.3520687
719,423500,934,453.4261242
720,298100,723,412.3098202
721,196900,528,372.9166667
722,128700,359,358.4958217
723,344300,848,406.0141509
724,233200,609,382.9228243
725,393800,1119,351.9213584
726,189200,583,324.5283019
727,185900,573,324.4328098
728,712800,1483,480.6473365
729,269500,595,452.9411765
730,302500,611,495.0900164
731,310200,723,429.0456432
732,317900,740,429.5945946
733,368500,848,434.5518868
734,233200,609,382.9228243
735,177100,573,309.0750436
736,680900,1231,553.1275386
737,430100,879,489.3060296
738,438900,934,469.9143469
739,311300,723,430.5670816
740,371800,848,438.4433962
741,223300,570,391.754386
742,397100,1119,354.87042
743,558800,1281,436.2217018
744,312400,723,432.0885201
745,320100,740,432.5675676
746,191400,583,328.3018868
747,720500,1483,485.8395145
748,687500,1231,558.4890333
749,275000,595,462.1848739
750,433400,879,493.0602958
751,440000,934,471.0920771
752,314600,723,435.131397
753,321200,740,434.0540541
754,372900,848,439.740566
755,179300,573,312.9144852
756,187000,573,326.3525305
757,722700,1483,487.3229939
758,277200,595,465.8823529
759,565400,1281,441.3739266
760,434500,879,494.3117179
761,442200,934,473.4475375
762,235400,609,386.5353038
763,179300,573,312.9144852
764,187000,573,326.3525305
765,727100,1483,490.2899528
766,312400,611,511.2929624
767,314600,623,504.975923
768,436700,879,496.814562
769,444400,934,475.8029979
770,225500,570,395.6140351
771,402600,1119,359.7855228
772,729300,1483,491.7734322
773,183700,583,315.0943396
774,180400,573,314.8342059
775,260700,595,438.1512605
776,291500,611,477.086743
777,544500,1281,425.058548
778,180400,573,314.8342059
779,731500,1483,493.2569117
780,698500,1231,567.4248578
781,317900,623,510.2728732
782,399300,879,454.2662116
783,446600,934,478.1584582
784,319000,723,441.2171508
785,408100,934,436.9379015
786,350900,916,383.0786026
787,216700,570,380.1754386
788,227700,609,373.8916256
789,404800,1119,361.7515639
790,180400,573,314.8342059
791,701800,1231,570.1056052
792,282700,595,475.1260504
793,316800,611,518.4942717
794,320100,623,513.8041734
795,441100,879,501.8202503
796,448800,934,480.5139186
797,1253200,2338,536.0136869
798,949400,1776,534.5720721
799,469900,1068,439.9812734
800,648300,1196,542.0568562
801,379900,728,521.8406593
802,1560200,2789,559.4119756
803,695200,1276,544.8275862
804,492200,1100,447.4545455
805,337700,775,435.7419355
806,1305200,2428,537.5617792
807,2190300,3889,563.2039085
808,564900,1250,451.92
809,1253200,2338,536.0136869
810,1956000,4200,465.7142857
811,721400,1400,515.2857143
812,1992300,3500,569.2285714
813,854400,1638,521.6117216
814,1142200,2145,532.4941725
815,567700,1057,537.0860927
816,1911400,3690,517.9945799
817,492200,1100,447.4545455
818,337700,775,435.7419355
819,1334100,2478,538.377724
820,2252000,3617,622.6154271
821,492200,1100,447.4545455
822,1480900,2776,533.4654179
823,2084800,4000,521.2
824,573900,1068,537.3595506
825,1400600,3537,395.9852983
826,1184700,2219,533.8891393
827,1326700,2850,465.5087719
828,2525600,5325,474.2910798
829,361100,825,437.6969697
830,755800,1379,548.0783176
831,2307800,3700,623.7297297
832,492200,1100,447.4545455
833,353900,810,436.9135802
834,1911800,3950,484
835,564900,1250,451.92
836,337700,775,435.7419355
837,1229000,2296,535.2787456
838,2000900,3850,519.7142857
839,564900,1250,451.92
840,480200,1075,446.6976744
841,2404600,3844,625.5463059
842,567700,1057,537.0860927
843,573900,1068,537.3595506
844,379900,728,521.8406593
845,539300,1008,535.0198413
846,823000,1582,520.2275601
847,648300,1196,542.0568562
848,379900,728,521.8406593
849,1135800,2134,532.239925
850,2031300,4350,466.9655172
851,567700,1057,537.0860927
852,648300,1196,542.0568562
853,379900,728,521.8406593
854,1133500,2130,532.1596244
855,687600,1263,544.4180523
856,567700,1057,537.0860927
857,400800,765,523.9215686
858,249100,1140,218.5087719
859,1196000,2900,412.4137931
860,213900,925,231.2432432
861,831300,2073,401.0130246
862,329100,827,397.9443773
863,555200,1425,389.6140351
864,576300,1475,390.7118644
865,855900,2130,401.8309859
866,304700,770,395.7142857
867,559400,1435,389.825784
868,572100,1465,390.5119454
869,696900,1760,395.9659091
870,464900,1140,407.8070175
871,1228600,2900,423.6551724
872,490000,1350,362.962963
873,550700,1450,379.7931034
874,550700,1450,379.7931034
875,550700,1450,379.7931034
876,550700,1450,379.7931034
877,552800,1455,379.9312715
878,548600,1445,379.6539792
879,550700,1450,379.7931034
880,550700,1450,379.7931034
881,682600,1770,385.6497175
882,448300,1130,396.7256637
883,802500,2057,390.1312591
884,327000,843,387.9003559
885,677200,1757,385.4297097
886,453900,1143,397.1128609
887,1858100,3716,500.0269107
888,242800,1857,130.7485191
889,180800,1239,145.9241324
890,1908700,3716,513.6437029
891,1908700,3716,513.6437029
892,948700,2027,468.0315738
893,723000,1528,473.1675393
894,1676500,3716,451.1571582
895,1076200,2311,465.6858503
896,570600,1325,430.6415094
897,948700,2027,468.0315738
898,723000,1528,473.1675393
899,1007500,2027,497.0399605
900,703800,1528,460.6020942
901,1676500,3716,451.1571582
902,923500,2027,455.599408
903,703800,1528,460.6020942
904,923500,2027,455.599408
905,703800,1528,460.6020942
906,1007500,2027,497.0399605
907,703800,1528,460.6020942
908,1007500,2027,497.0399605
909,703800,1528,460.6020942
910,923500,2027,455.599408
911,703800,1528,460.6020942
912,437300,1225,356.9795918
913,608600,1869,325.6286784
914,158300,1050,150.7619048
